invoiceno,customerid,country,invoicemonth,totalinvoiceamount,totalitems,distinctproducts,highvaluebasket,log_totalinvoiceamount
548153,15129.0,United Kingdom,2011-03-01 00:00:00.000,304.4,368,13,1,5.721622392784532
548154,17675.0,United Kingdom,2011-03-01 00:00:00.000,465.7,173,21,1,6.14568665295577
548156,14871.0,United Kingdom,2011-03-01 00:00:00.000,108.2,38,20,1,4.693181063310805
548157,14298.0,United Kingdom,2011-03-01 00:00:00.000,1518.0,920,14,1,7.325807502595773
548158,15906.0,United Kingdom,2011-03-01 00:00:00.000,341.93,92,28,1,5.837526344705797
548159,15906.0,United Kingdom,2011-03-01 00:00:00.000,69.4,16,4,0,4.254193263163997
548160,16253.0,United Kingdom,2011-03-01 00:00:00.000,1700.4,1340,53,1,7.439206720541784
548169,14680.0,United Kingdom,2011-03-01 00:00:00.000,2106.46,1250,29,1,7.653238709861965
548170,15290.0,United Kingdom,2011-03-01 00:00:00.000,280.85,111,9,1,5.6413750145275845
548171,16422.0,United Kingdom,2011-03-01 00:00:00.000,963.01,1215,14,1,6.871101668000725
548172,15738.0,United Kingdom,2011-03-01 00:00:00.000,328.15,253,13,1,5.796513573913885
548176,13439.0,United Kingdom,2011-03-01 00:00:00.000,283.71,242,54,1,5.651471118359793
548177,12888.0,United Kingdom,2011-03-01 00:00:00.000,272.76,52,4,1,5.612251810143883
548178,14367.0,United Kingdom,2011-03-01 00:00:00.000,504.61,321,27,1,6.225765621118069
548185,15628.0,United Kingdom,2011-03-01 00:00:00.000,371.83,173,22,1,5.921122551676734
548186,13777.0,United Kingdom,2011-03-01 00:00:00.000,539.3,254,8,1,6.29212454085002
548188,13263.0,United Kingdom,2011-03-01 00:00:00.000,243.81,174,52,1,5.500482399477049
548189,16607.0,United Kingdom,2011-03-01 00:00:00.000,141.41,163,11,1,4.958710221231336
548190,17511.0,United Kingdom,2011-03-01 00:00:00.000,258.18,42,3,1,5.557522801007268
548192,17364.0,United Kingdom,2011-03-01 00:00:00.000,247.45,137,23,1,5.5152416180483295
548196,16011.0,United Kingdom,2011-03-01 00:00:00.000,118.55,63,8,1,4.783734693904334
548197,13588.0,United Kingdom,2011-03-01 00:00:00.000,113.3,48,8,1,4.738826570800765
548198,16712.0,United Kingdom,2011-03-01 00:00:00.000,351.01,133,50,1,5.863659584285475
548199,16945.0,United Kingdom,2011-03-01 00:00:00.000,287.04,222,20,1,5.663099359380666
548202,16980.0,United Kingdom,2011-03-01 00:00:00.000,346.6,370,9,1,5.851052393391237
548208,14189.0,United Kingdom,2011-03-01 00:00:00.000,314.1,224,18,1,5.752890048763229
548210,14606.0,United Kingdom,2011-03-01 00:00:00.000,338.41,132,40,1,5.827208816125654
548211,14646.0,Netherlands,2011-03-01 00:00:00.000,1807.04,1208,16,1,7.499998664601198
548212,12456.0,Switzerland,2011-03-01 00:00:00.000,940.17,445,41,1,6.847123782142069
548213,15521.0,United Kingdom,2011-03-01 00:00:00.000,475.69,433,33,1,6.166866384436731
548214,13720.0,United Kingdom,2011-03-01 00:00:00.000,266.2,204,17,1,5.58799744166249
548215,15674.0,United Kingdom,2011-03-01 00:00:00.000,355.12,198,19,1,5.87526775270547
548216,12971.0,United Kingdom,2011-03-01 00:00:00.000,91.8,36,1,0,4.530446639792155
548217,17616.0,United Kingdom,2011-03-01 00:00:00.000,81.6,32,1,0,4.414009680526933
548218,13999.0,United Kingdom,2011-03-01 00:00:00.000,301.48,214,16,1,5.712015159582678
548222,17306.0,United Kingdom,2011-03-01 00:00:00.000,396.6,308,3,1,5.985446474782419
548223,17306.0,United Kingdom,2011-03-01 00:00:00.000,152.64,144,1,1,5.034612203477704
548234,17594.0,United Kingdom,2011-03-01 00:00:00.000,315.0,220,14,1,5.755742213586912
548242,16218.0,United Kingdom,2011-03-01 00:00:00.000,216.3,126,8,1,5.381278887262384
548245,12823.0,United Kingdom,2011-03-01 00:00:00.000,459.0,60,1,1,6.131226489483141
548255,13078.0,United Kingdom,2011-03-01 00:00:00.000,383.07,115,17,1,5.950824827641287
548256,17775.0,United Kingdom,2011-03-01 00:00:00.000,56.4,72,3,0,4.050044303325521
548257,13802.0,United Kingdom,2011-03-01 00:00:00.000,2161.32,1104,28,1,7.678936998347424
548258,14146.0,United Kingdom,2011-03-01 00:00:00.000,662.3,260,30,1,6.4972273765315105
548259,14099.0,United Kingdom,2011-03-01 00:00:00.000,244.13,236,28,1,5.501788682064726
548260,15373.0,United Kingdom,2011-03-01 00:00:00.000,176.21,48,21,1,5.177335469987254
548267,16954.0,United Kingdom,2011-03-01 00:00:00.000,180.38,58,3,1,5.200594278019421
548276,17863.0,United Kingdom,2011-03-01 00:00:00.000,481.2,416,18,1,6.178358965747071
548289,13988.0,United Kingdom,2011-03-01 00:00:00.000,631.06,426,43,1,6.448984326349514
548293,13798.0,United Kingdom,2011-03-01 00:00:00.000,1012.6,628,10,1,6.921263629006929
548308,17220.0,United Kingdom,2011-03-01 00:00:00.000,415.8,201,60,1,6.032606490439157
548309,16657.0,United Kingdom,2011-03-01 00:00:00.000,215.43,394,65,1,5.377267169526438
548311,13728.0,United Kingdom,2011-03-01 00:00:00.000,183.0,92,12,1,5.214935757608986
548312,16059.0,United Kingdom,2011-03-01 00:00:00.000,381.5,143,47,1,5.94672865326659
548313,15353.0,United Kingdom,2011-03-01 00:00:00.000,458.47,210,48,1,6.1300736513074545
548314,16949.0,United Kingdom,2011-03-01 00:00:00.000,127.79,77,9,1,4.858183170904579
548315,16019.0,United Kingdom,2011-03-01 00:00:00.000,303.32,60,7,1,5.7180797793570255
548316,17929.0,United Kingdom,2011-03-01 00:00:00.000,238.8,24,1,1,5.479805242593414
548317,18179.0,United Kingdom,2011-03-01 00:00:00.000,270.26,250,18,1,5.6030777705345685
548318,13113.0,United Kingdom,2011-03-01 00:00:00.000,453.05,121,6,1,6.118207324135837
548319,14180.0,United Kingdom,2011-03-01 00:00:00.000,245.2,38,15,1,5.506144213750353
548320,12709.0,Germany,2011-03-01 00:00:00.000,418.7,174,7,1,6.039540170339545
548323,15424.0,United Kingdom,2011-03-01 00:00:00.000,193.5,386,9,1,5.270432163058501
548324,13316.0,United Kingdom,2011-03-01 00:00:00.000,1622.48,2048,11,1,7.39232727240327
548325,13509.0,United Kingdom,2011-03-01 00:00:00.000,313.5,386,15,1,5.750984076140496
548326,15424.0,United Kingdom,2011-03-01 00:00:00.000,189.84,168,8,1,5.251435380647906
548327,16788.0,United Kingdom,2011-03-01 00:00:00.000,294.47,181,61,1,5.688567308849721
548329,16584.0,United Kingdom,2011-03-01 00:00:00.000,611.94,488,14,1,6.418267051863503
548330,14810.0,United Kingdom,2011-03-01 00:00:00.000,136.99,65,22,1,4.927181218763463
548331,13047.0,United Kingdom,2011-03-01 00:00:00.000,427.15,193,20,1,6.059473601472201
548332,15364.0,United Kingdom,2011-03-01 00:00:00.000,331.8,84,3,1,5.807541708947054
548333,15189.0,United Kingdom,2011-03-01 00:00:00.000,132.7,38,4,1,4.895598484107897
548334,18108.0,United Kingdom,2011-03-01 00:00:00.000,271.0,84,17,1,5.605802066295998
548335,14272.0,United Kingdom,2011-03-01 00:00:00.000,132.09,87,8,1,4.891025591098464
548336,13082.0,United Kingdom,2011-03-01 00:00:00.000,435.0,612,4,1,6.077642243349034
548337,18198.0,United Kingdom,2011-03-01 00:00:00.000,284.67,233,16,1,5.654837298473027
548338,16558.0,United Kingdom,2011-03-01 00:00:00.000,174.31,171,12,1,5.166555835365783
548340,13426.0,United Kingdom,2011-03-01 00:00:00.000,306.39,311,22,1,5.728117299670995
548349,15812.0,United Kingdom,2011-03-01 00:00:00.000,519.96,388,3,1,6.2556732633741206
548351,13001.0,United Kingdom,2011-03-01 00:00:00.000,850.82,502,24,1,6.747375236903538
548353,15980.0,United Kingdom,2011-03-01 00:00:00.000,760.18,592,20,1,6.634869860773088
548354,15981.0,United Kingdom,2011-03-01 00:00:00.000,600.0,376,13,1,6.398594934535208
548358,15832.0,United Kingdom,2011-03-01 00:00:00.000,836.79,465,54,1,6.7307674724187825
548359,14828.0,United Kingdom,2011-03-01 00:00:00.000,493.92,696,3,1,6.204396133345775
548361,16092.0,United Kingdom,2011-03-01 00:00:00.000,310.87,211,20,1,5.74258643431314
548363,12428.0,Finland,2011-03-01 00:00:00.000,558.4,346,10,1,6.32686478076786
548367,17677.0,United Kingdom,2011-03-01 00:00:00.000,1337.78,861,23,1,7.199514030474467
548368,17677.0,United Kingdom,2011-03-01 00:00:00.000,70.92,40,4,0,4.275554390163365
548370,15528.0,United Kingdom,2011-03-01 00:00:00.000,229.33,123,26,1,5.4395130632148145
548371,17757.0,United Kingdom,2011-03-01 00:00:00.000,353.7,378,9,1,5.871272361779576
548372,14572.0,United Kingdom,2011-03-01 00:00:00.000,116.45,31,3,1,4.7660127111049215
548388,13268.0,United Kingdom,2011-03-01 00:00:00.000,441.37,453,52,1,6.092146635973891
548400,17400.0,United Kingdom,2011-03-01 00:00:00.000,626.9,283,54,1,6.4423809181200635
548401,14479.0,United Kingdom,2011-03-01 00:00:00.000,141.85,59,8,1,4.961795128676782
548403,14794.0,United Kingdom,2011-03-01 00:00:00.000,16.95,1,1,0,2.8875901149342877
548404,16398.0,United Kingdom,2011-03-01 00:00:00.000,1169.95,503,63,1,7.0655706641378595
548405,17088.0,United Kingdom,2011-03-01 00:00:00.000,1015.83,355,55,1,6.924445223767302
548406,15061.0,United Kingdom,2011-03-01 00:00:00.000,872.56,500,11,1,6.772576816396572
548407,16401.0,United Kingdom,2011-03-01 00:00:00.000,306.6,376,17,1,5.728800237631489
548408,17438.0,United Kingdom,2011-03-01 00:00:00.000,388.45,103,17,1,5.9647354873659575
548409,12731.0,France,2011-03-01 00:00:00.000,1937.06,946,33,1,7.56944275172379
548410,12731.0,France,2011-03-01 00:00:00.000,413.4,132,4,1,6.026831690945273
548412,12601.0,Germany,2011-03-01 00:00:00.000,111.0,49,3,1,4.718498871295094
548447,17315.0,United Kingdom,2011-03-01 00:00:00.000,205.75,147,4,1,5.3315103339038
548448,18041.0,United Kingdom,2011-03-01 00:00:00.000,225.49,275,12,1,5.422700793838069
548449,14911.0,EIRE,2011-03-01 00:00:00.000,168.4,45,9,1,5.132262782217954
548450,15856.0,United Kingdom,2011-03-01 00:00:00.000,516.29,379,26,1,6.2486036456801495
548451,17365.0,United Kingdom,2011-03-01 00:00:00.000,541.05,782,63,1,6.2953582481073
548452,13060.0,United Kingdom,2011-03-01 00:00:00.000,307.53,123,15,1,5.731819083350057
548455,14790.0,United Kingdom,2011-03-01 00:00:00.000,152.16,136,10,1,5.031483126609094
548457,13468.0,United Kingdom,2011-03-01 00:00:00.000,102.4,24,5,1,4.638604962074329
548458,15632.0,United Kingdom,2011-03-01 00:00:00.000,300.6,48,9,1,5.709101636133801
548459,14890.0,United Kingdom,2011-03-01 00:00:00.000,125.65,51,7,1,4.841427376447684
548461,14527.0,United Kingdom,2011-03-01 00:00:00.000,142.51,55,23,1,4.96640471918284
548466,16386.0,United Kingdom,2011-03-01 00:00:00.000,61.1,26,4,0,4.128745988939433
548468,14818.0,United Kingdom,2011-03-01 00:00:00.000,118.25,31,13,1,4.781222129768451
548470,12782.0,Portugal,2011-03-01 00:00:00.000,415.52,174,16,1,6.031934479661695
548484,13571.0,United Kingdom,2011-03-01 00:00:00.000,145.27,77,27,1,4.985454228898997
548486,12909.0,United Kingdom,2011-03-01 00:00:00.000,278.65,167,16,1,5.633538821267597
548489,12619.0,Germany,2011-03-01 00:00:00.000,205.98,44,5,1,5.332622170240027
548490,12909.0,United Kingdom,2011-03-01 00:00:00.000,624.8,431,27,1,6.439030831234781
548491,14064.0,United Kingdom,2011-03-01 00:00:00.000,375.35,906,8,1,5.930519561480541
548492,17841.0,United Kingdom,2011-03-01 00:00:00.000,208.05,112,36,1,5.342573457802574
548493,16839.0,United Kingdom,2011-03-01 00:00:00.000,840.38,314,10,1,6.735043400966615
548494,16698.0,United Kingdom,2011-03-01 00:00:00.000,1182.0,520,4,1,7.075808863978387
548496,12678.0,France,2011-03-01 00:00:00.000,3243.13,2271,35,1,8.0846024884151
548497,13089.0,United Kingdom,2011-03-01 00:00:00.000,1622.41,725,57,1,7.392284154219401
548498,16681.0,United Kingdom,2011-03-01 00:00:00.000,301.6,246,12,1,5.712411801354255
548499,17075.0,United Kingdom,2011-03-01 00:00:00.000,133.47,60,16,1,4.901341125835779
548500,17071.0,United Kingdom,2011-03-01 00:00:00.000,204.78,148,22,1,5.326807636947664
548501,15894.0,United Kingdom,2011-03-01 00:00:00.000,106.81,53,3,1,4.680370418551027
548506,18037.0,United Kingdom,2011-03-01 00:00:00.000,3.9,2,2,0,1.589235205116581
548507,13573.0,United Kingdom,2011-03-01 00:00:00.000,31.77,10,3,0,3.489513462710723
548509,14543.0,United Kingdom,2011-03-01 00:00:00.000,296.2,64,5,1,5.694405312843604
548510,17861.0,United Kingdom,2011-03-01 00:00:00.000,216.12,255,34,1,5.380450196086559
548511,14056.0,United Kingdom,2011-03-01 00:00:00.000,276.94,86,27,1,5.627405263058436
548512,14410.0,United Kingdom,2011-03-01 00:00:00.000,136.6,40,14,1,4.924350925499243
548520,13126.0,United Kingdom,2011-03-01 00:00:00.000,320.17,431,19,1,5.771970577959644
548521,17735.0,United Kingdom,2011-03-01 00:00:00.000,652.52,626,41,1,6.482373137033614
548529,18223.0,United Kingdom,2011-03-01 00:00:00.000,490.99,217,24,1,6.198458391082497
548530,17400.0,United Kingdom,2011-03-01 00:00:00.000,11.8,4,2,0,2.5494451709255714
548531,14031.0,United Kingdom,2011-03-01 00:00:00.000,1170.0,216,5,1,7.065613363597717
548533,13883.0,United Kingdom,2011-03-01 00:00:00.000,980.41,457,46,1,6.888990313129058
548534,18172.0,United Kingdom,2011-03-01 00:00:00.000,269.62,184,15,1,5.600715622835498
548541,14957.0,United Kingdom,2011-03-01 00:00:00.000,58.49,34,12,0,4.085808231199814
548542,13918.0,United Kingdom,2011-03-01 00:00:00.000,198.2,100,8,1,5.294309345150498
548544,14525.0,United Kingdom,2011-03-01 00:00:00.000,293.45,240,13,1,5.685109209390579
548545,13118.0,United Kingdom,2011-03-01 00:00:00.000,423.55,127,19,1,6.051029784445372
548546,16600.0,United Kingdom,2011-03-01 00:00:00.000,111.6,186,9,1,4.72384171570559
548547,17212.0,United Kingdom,2011-03-01 00:00:00.000,226.85,147,4,1,5.428687517709892
548548,17781.0,United Kingdom,2011-03-01 00:00:00.000,102.0,8,2,1,4.634728988229636
548549,16365.0,United Kingdom,2011-03-01 00:00:00.000,120.9,102,3,1,4.803201036487226
548550,18161.0,United Kingdom,2011-04-01 00:00:00.000,244.79,109,12,1,5.504477512821833
548551,14886.0,United Kingdom,2011-04-01 00:00:00.000,364.8,160,18,1,5.9020867359567655
548552,17613.0,United Kingdom,2011-04-01 00:00:00.000,239.75,71,10,1,5.483759050678235
548553,12523.0,France,2011-04-01 00:00:00.000,138.75,88,9,1,4.939855112035208
548554,13694.0,United Kingdom,2011-04-01 00:00:00.000,888.2,1420,19,1,6.7903221820900415
548555,13758.0,United Kingdom,2011-04-01 00:00:00.000,316.9,108,15,1,5.761736867916757
548556,13694.0,United Kingdom,2011-04-01 00:00:00.000,237.9,122,2,1,5.476045054331764
548557,15018.0,United Kingdom,2011-04-01 00:00:00.000,180.09,73,12,1,5.198994145253251
548558,13626.0,United Kingdom,2011-04-01 00:00:00.000,257.23,209,19,1,5.5538506606638975
548559,16214.0,United Kingdom,2011-04-01 00:00:00.000,206.7,34,5,1,5.336094730882067
548560,13468.0,United Kingdom,2011-04-01 00:00:00.000,297.12,200,8,1,5.697496090013493
548561,16609.0,United Kingdom,2011-04-01 00:00:00.000,557.53,255,35,1,6.325308332375503
548563,18118.0,United Kingdom,2011-04-01 00:00:00.000,125.63,47,17,1,4.841269448462517
548565,16180.0,United Kingdom,2011-04-01 00:00:00.000,413.88,228,13,1,6.027989321790354
548566,17288.0,United Kingdom,2011-04-01 00:00:00.000,127.3,110,6,1,4.8543712716215905
548567,17965.0,United Kingdom,2011-04-01 00:00:00.000,270.1,87,26,1,5.60248775650462
548568,14543.0,United Kingdom,2011-04-01 00:00:00.000,252.61,26,10,1,5.535797653962299
548606,12731.0,France,2011-04-01 00:00:00.000,252.0,240,3,1,5.53338948872752
548608,13462.0,United Kingdom,2011-04-01 00:00:00.000,151.5,62,9,1,5.0271645960474665
548610,15860.0,United Kingdom,2011-04-01 00:00:00.000,292.85,101,35,1,5.68306943305866
548611,18230.0,United Kingdom,2011-04-01 00:00:00.000,386.22,210,16,1,5.958993006961019
548612,13137.0,United Kingdom,2011-04-01 00:00:00.000,640.81,390,114,1,6.464292309732308
548613,13694.0,United Kingdom,2011-04-01 00:00:00.000,35.28,84,1,0,3.591266625246936
548614,14419.0,United Kingdom,2011-04-01 00:00:00.000,183.04,106,36,1,5.215153125287268
548616,18263.0,United Kingdom,2011-04-01 00:00:00.000,307.6,328,15,1,5.73204593992906
548617,16592.0,United Kingdom,2011-04-01 00:00:00.000,337.51,333,18,1,5.824553634013459
548618,15197.0,United Kingdom,2011-04-01 00:00:00.000,216.75,124,12,1,5.383347615732612
548619,16592.0,United Kingdom,2011-04-01 00:00:00.000,9.96,12,1,0,2.3942522815198695
548621,16960.0,United Kingdom,2011-04-01 00:00:00.000,201.53,95,45,1,5.310888023721889
548622,13636.0,United Kingdom,2011-04-01 00:00:00.000,249.6,153,16,1,5.523858042461968
548623,13841.0,United Kingdom,2011-04-01 00:00:00.000,85.0,100,1,0,4.454347296253507
548627,16333.0,United Kingdom,2011-04-01 00:00:00.000,1445.6,3080,5,1,7.27697125441518
548629,16333.0,United Kingdom,2011-04-01 00:00:00.000,355.2,192,1,1,5.875492370855561
548630,16333.0,United Kingdom,2011-04-01 00:00:00.000,355.2,192,1,1,5.875492370855561
548631,13184.0,United Kingdom,2011-04-01 00:00:00.000,117.4,77,13,1,4.774068722449905
548632,17701.0,United Kingdom,2011-04-01 00:00:00.000,417.95,109,24,1,6.037751581059295
548633,16333.0,United Kingdom,2011-04-01 00:00:00.000,915.84,864,1,1,6.820932975026166
548634,12877.0,United Kingdom,2011-04-01 00:00:00.000,87.1,34,5,0,4.478472532942134
548635,16333.0,United Kingdom,2011-04-01 00:00:00.000,538.72,1432,2,1,6.291050486562587
548636,15601.0,United Kingdom,2011-04-01 00:00:00.000,266.85,215,21,1,5.590427122326969
548640,17580.0,United Kingdom,2011-04-01 00:00:00.000,47.7,6,1,0,3.885679030088544
548641,16333.0,United Kingdom,2011-04-01 00:00:00.000,577.2,312,1,1,6.359919829582246
548642,17287.0,United Kingdom,2011-04-01 00:00:00.000,145.24,120,15,1,4.98524910770584
548643,14680.0,United Kingdom,2011-04-01 00:00:00.000,72.0,100,1,0,4.290459441148391
548644,15291.0,United Kingdom,2011-04-01 00:00:00.000,396.0,288,2,1,5.983936280687191
548645,17457.0,United Kingdom,2011-04-01 00:00:00.000,313.38,114,2,1,5.750602445300092
548648,12949.0,United Kingdom,2011-04-01 00:00:00.000,1534.3,909,75,1,7.3364810806648535
548649,18179.0,United Kingdom,2011-04-01 00:00:00.000,210.0,100,1,1,5.351858133476067
548650,14852.0,United Kingdom,2011-04-01 00:00:00.000,490.4,368,24,1,6.197258460087078
548651,14970.0,United Kingdom,2011-04-01 00:00:00.000,444.75,65,7,1,6.09975825674325
548652,16928.0,United Kingdom,2011-04-01 00:00:00.000,135.0,108,5,1,4.912654885736052
548654,12569.0,Germany,2011-04-01 00:00:00.000,348.68,115,10,1,5.857018450555059
548655,15605.0,United Kingdom,2011-04-01 00:00:00.000,312.58,130,20,1,5.748054510932304
548656,12748.0,United Kingdom,2011-04-01 00:00:00.000,16.7,6,6,0,2.8735646395797834
548657,12748.0,United Kingdom,2011-04-01 00:00:00.000,8.8,2,2,0,2.2823823856765264
548658,15179.0,United Kingdom,2011-04-01 00:00:00.000,102.0,40,1,1,4.634728988229636
548659,13418.0,United Kingdom,2011-04-01 00:00:00.000,362.24,425,29,1,5.8950637728216275
548660,13169.0,United Kingdom,2011-04-01 00:00:00.000,505.2,96,6,1,6.226931848111024
548661,12415.0,Australia,2011-04-01 00:00:00.000,350.0,1,1,1,5.860786223465865
548664,14911.0,EIRE,2011-04-01 00:00:00.000,1407.19,713,67,1,7.250060470795794
548665,14854.0,United Kingdom,2011-04-01 00:00:00.000,193.08,100,7,1,5.26827044519574
548666,13124.0,United Kingdom,2011-04-01 00:00:00.000,1260.15,671,79,1,7.139779282102284
548668,16162.0,United Kingdom,2011-04-01 00:00:00.000,37.4,4,2,0,3.648057459593681
548669,15691.0,United Kingdom,2011-04-01 00:00:00.000,136.8,72,2,1,4.925803358579558
548670,15356.0,United Kingdom,2011-04-01 00:00:00.000,206.98,117,54,1,5.337441921232086
548673,13767.0,United Kingdom,2011-04-01 00:00:00.000,291.44,128,11,1,5.678259517425115
548686,15856.0,United Kingdom,2011-04-01 00:00:00.000,785.5,553,24,1,6.667592722498332
548687,14195.0,United Kingdom,2011-04-01 00:00:00.000,828.4,736,5,1,6.720702547812281
548696,17243.0,United Kingdom,2011-04-01 00:00:00.000,142.5,48,7,1,4.966335035199676
548697,15482.0,United Kingdom,2011-04-01 00:00:00.000,713.8,184,6,1,6.5720027832852725
548698,18109.0,United Kingdom,2011-04-01 00:00:00.000,259.6,86,29,1,5.562986664690745
548700,13623.0,United Kingdom,2011-04-01 00:00:00.000,146.99,19,10,1,4.997144703913756
548701,17629.0,United Kingdom,2011-04-01 00:00:00.000,266.36,219,35,1,5.588596064847084
548702,17085.0,United Kingdom,2011-04-01 00:00:00.000,244.5,151,27,1,5.503296947234575
548703,16010.0,United Kingdom,2011-04-01 00:00:00.000,163.55,95,36,1,5.103214475389349
548704,17381.0,United Kingdom,2011-04-01 00:00:00.000,937.71,1897,7,1,6.84450659231699
548705,17381.0,United Kingdom,2011-04-01 00:00:00.000,189.12,444,3,1,5.247655451745809
548706,13408.0,United Kingdom,2011-04-01 00:00:00.000,231.3,106,4,1,5.4480296397763635
548707,13781.0,United Kingdom,2011-04-01 00:00:00.000,127.84,30,17,1,4.858571324462998
548708,13269.0,United Kingdom,2011-04-01 00:00:00.000,701.65,514,93,1,6.554858901546754
548709,17744.0,United Kingdom,2011-04-01 00:00:00.000,280.56,364,12,1,5.640345568739931
548710,16678.0,United Kingdom,2011-04-01 00:00:00.000,282.6,188,17,1,5.647564794657972
548711,18116.0,United Kingdom,2011-04-01 00:00:00.000,197.69,110,88,1,5.291745821164998
548712,17050.0,United Kingdom,2011-04-01 00:00:00.000,670.33,363,66,1,6.5092608193547745
548714,17337.0,United Kingdom,2011-04-01 00:00:00.000,459.5,259,150,1,6.132312855695361
548715,17758.0,United Kingdom,2011-04-01 00:00:00.000,583.79,407,65,1,6.3712528084261635
548716,14023.0,United Kingdom,2011-04-01 00:00:00.000,273.14,162,16,1,5.613638924803235
548718,14156.0,EIRE,2011-04-01 00:00:00.000,2183.82,1162,14,1,7.689288724273583
548725,12678.0,France,2011-04-01 00:00:00.000,134.0,1,1,1,4.90527477843843
548726,13767.0,United Kingdom,2011-04-01 00:00:00.000,367.74,146,12,1,5.910091788642244
548728,13198.0,United Kingdom,2011-04-01 00:00:00.000,903.01,835,67,1,6.806840422277896
548730,17669.0,United Kingdom,2011-04-01 00:00:00.000,475.5,234,7,1,6.166467723094256
548732,16142.0,United Kingdom,2011-04-01 00:00:00.000,535.34,422,37,1,6.284768288327816
548733,17648.0,United Kingdom,2011-04-01 00:00:00.000,583.87,169,36,1,6.371389600314617
548734,13059.0,United Kingdom,2011-04-01 00:00:00.000,183.4,35,8,1,5.2171073111224935
548735,15039.0,United Kingdom,2011-04-01 00:00:00.000,435.56,181,33,1,6.078925822877976
548736,13984.0,United Kingdom,2011-04-01 00:00:00.000,432.48,408,1,1,6.0718456590547945
548737,12682.0,France,2011-04-01 00:00:00.000,585.55,297,27,1,6.37425791595173
548739,15493.0,United Kingdom,2011-04-01 00:00:00.000,404.54,105,52,1,6.005219512340318
548740,13319.0,United Kingdom,2011-04-01 00:00:00.000,599.84,216,27,1,6.398328676129854
548741,16224.0,United Kingdom,2011-04-01 00:00:00.000,167.47,79,14,1,5.126757692398113
548742,14688.0,United Kingdom,2011-04-01 00:00:00.000,375.16,266,26,1,5.93001458479176
548743,14895.0,United Kingdom,2011-04-01 00:00:00.000,500.35,181,18,1,6.2173044599699345
548744,17725.0,United Kingdom,2011-04-01 00:00:00.000,313.29,159,15,1,5.750316126561756
548745,12471.0,Germany,2011-04-01 00:00:00.000,624.29,350,27,1,6.438215542121689
548746,12471.0,Germany,2011-04-01 00:00:00.000,50.0,40,1,0,3.9318256327243257
548747,15223.0,United Kingdom,2011-04-01 00:00:00.000,300.85,115,12,1,5.709930205242435
548749,13004.0,United Kingdom,2011-04-01 00:00:00.000,451.78,448,31,1,6.1154063563021595
548757,17419.0,United Kingdom,2011-04-01 00:00:00.000,357.5,144,18,1,5.881928660039675
548768,17886.0,United Kingdom,2011-04-01 00:00:00.000,219.94,92,15,1,5.397891171444129
548780,13294.0,United Kingdom,2011-04-01 00:00:00.000,483.65,317,32,1,6.183426980938617
548792,14711.0,United Kingdom,2011-04-01 00:00:00.000,208.57,122,37,1,5.345057812431851
548796,15752.0,United Kingdom,2011-04-01 00:00:00.000,403.78,340,53,1,6.0033437096380595
548801,15289.0,United Kingdom,2011-04-01 00:00:00.000,375.45,333,19,1,5.930785236296131
548806,13098.0,United Kingdom,2011-04-01 00:00:00.000,357.7,168,8,1,5.882486384538237
548807,16422.0,United Kingdom,2011-04-01 00:00:00.000,2298.0,1648,18,1,7.740229524763182
548808,17774.0,United Kingdom,2011-04-01 00:00:00.000,375.0,123,40,1,5.929589143389895
548813,12744.0,Singapore,2011-04-01 00:00:00.000,4037.77,4,1,1,8.303695469153682
548820,12744.0,Singapore,2011-04-01 00:00:00.000,2053.07,1,1,1,7.627578469752005
548856,15311.0,United Kingdom,2011-04-01 00:00:00.000,25.09,12,3,0,3.261552099148637
548858,14911.0,EIRE,2011-04-01 00:00:00.000,264.3,77,15,1,5.580861261143694
548859,13668.0,United Kingdom,2011-04-01 00:00:00.000,221.25,112,24,1,5.403802874394014
548860,13263.0,United Kingdom,2011-04-01 00:00:00.000,406.4,254,65,1,6.009795503792706
548861,18185.0,United Kingdom,2011-04-01 00:00:00.000,304.25,183,17,1,5.721131112990814
548862,17956.0,United Kingdom,2011-04-01 00:00:00.000,12.75,1,1,0,2.6210388241125804
548863,15311.0,United Kingdom,2011-04-01 00:00:00.000,1713.74,1050,45,1,7.4470167446085265
548864,15756.0,United Kingdom,2011-04-01 00:00:00.000,123.59,45,39,1,4.825028346310772
548865,14747.0,United Kingdom,2011-04-01 00:00:00.000,328.2,84,18,1,5.796665468802915
548867,14719.0,United Kingdom,2011-04-01 00:00:00.000,223.46,188,40,1,5.41369751758811
548868,13015.0,United Kingdom,2011-04-01 00:00:00.000,556.77,187,32,1,6.323946691029226
548869,17114.0,United Kingdom,2011-04-01 00:00:00.000,130.2,20,16,1,4.876722876509988
548870,14606.0,United Kingdom,2011-04-01 00:00:00.000,129.18,58,42,1,4.868918108144241
548871,14410.0,United Kingdom,2011-04-01 00:00:00.000,91.48,76,6,0,4.5269924049240675
548872,13015.0,United Kingdom,2011-04-01 00:00:00.000,108.0,88,7,1,4.6913478822291435
548873,12971.0,United Kingdom,2011-04-01 00:00:00.000,214.2,92,3,1,5.371567828287629
548874,17716.0,United Kingdom,2011-04-01 00:00:00.000,786.16,386,37,1,6.668431531438889
548892,18044.0,United Kingdom,2011-04-01 00:00:00.000,124.15,27,7,1,4.829513017877783
548896,13767.0,United Kingdom,2011-04-01 00:00:00.000,297.28,150,14,1,5.698032642675594
